,text,sentiment
381,We use our Echo daily from researching items to playing our favorite music. It has become very handy in our household.,POSITIVE
382,Good product for the price. Obviously it is not as simple to use as iPad or galaxy but still a great option for those who don't want to break the bank,MIXED
383,Great table does everything that i need it for. Great resolution and screen for reading books,POSITIVE
384,Didn't do all that I wanted it to but it is sufficient for my 8 year old son.,MIXED
385,"Pros: 5 Ghz wifi, supports expansion cardsCons: app store a little limited though there is apparently a workaround Other: the ads fed from Amazon are not terribly intrusiveOverall, the tablet seems to work well and is a good value,",MIXED
386,"This is the first time that I've used a Kindle tablet. I've used Android and Apple devices before, and this is a different beast. People that are used to an Android experience, will not be thrilled with this device. Even though it looks like Android, the Play Store is not available and not all of the basic apps are included in the Kindle Store. If I had to do it all over again I'd spend an extra $50 or $60 and get an actual Android tablet.",NEGATIVE
387,Simple easy to use. Plug and play so to speak. You should read the manual that comes installed on it. Can read anywhere with no glare at all. tt even has a browser for the web that is in the preliminary stages but it is pretty good.,POSITIVE
388,"The simple set up, ease of use, and features of the Echo make it a cool little device to have around the house.",POSITIVE
389,This is my 3rd Kindle e-reader and it's the best yet. Text is clear and device is light. Considered the newer Voyage and Oasis but I believe this is a better deal. It was worth the upgrade from the prior Paperwhite.,POSITIVE
390,"I have been watching the reviews online and checking with friends that have purchased the Echo to see how much they liked or disliked its features. Last person I talked to went on and on about all the things there were using it for and that persuaded me it was time and Amazon Prime Day was the perfect opportunity to go for it. Amazon did a fantastic job of creating this tubular info-taining command center! There are so many cool and awesome things its able to do that I'll hit the highlights that work for our household. First, we love that it follows your voice in the room (the circle lighting will show which direction it is 'listening'), the speaker is wonderfully balanced, so whether listening to music, the news or to Alexa speaking, I have nothing but high marks for its sound quality, given its size. Next, set up (after downloading the app to our iPhones) was quick, easy and very intuitive. The more you look over the app, the more you will realize a world of 'skills' that the unit is able to perform once they are turned on and you master the right sequence of keywords to initialize them. We've added things to shopping lists, while asking about the weather and our calendar of events and then asked Alexa to change the temp of our Nest thermostats in various parts of the house, simply by saying her name and then our commands, sometimes sitting in the living room or simply pass through - she is always there listening and ready. We've ordered some LED programmable lights and I can hardly wait for Alexa to help set the mood in the house, room to room, all from a simple voice request. Even though we are fairly tech savvy and have phone, tablets and watches that can control devices, its HUGE to just ask for something and a pleasant voice setting it in motion.I am a regular Amazon Prime shopper and reviewer, if my review helped you in making up your mind about whether to purchase the Echo, please mark the Helpful button, it tells Amazon that folks are in fact reading reviews like this. Thanks!",POSITIVE
391,The fridge started to work earlier than indicated in the brochure,NEGATIVE
392,No problems the unit work as Apple has explained with little or no effort,POSITIVE
393,Everyone is able to use this. Even the 4 and 5 year old grand kids .,POSITIVE
394,Really enjoy this product. Love watching movies and playing games on my Fire HD 8,POSITIVE
395,Some problems streaming Netflix but everything else works perfectly,MIXED
396,Its perfect to see my tv series when i don't have my tv around. It has a very good resolution quality.,POSITIVE
397,"Can't say enough about the Kindle Fire. It literally is fiiiiiiyah... fast, easy to use, and an all-around perfect tablet. Recommend keeping an eye out for special pricing at holidays to save some cheddar, but otherwise I'd say pick this little black rectangle of portable interwebz awesomeness up the first chance you get.",POSITIVE
398,"The back light is a great addition to this kindle, along with the page press! It's perfect for only using one hand to read. I would highly recommend this kindle and is worth the extra money.",POSITIVE
399,It is so much easier to hold a Kindle than a heavy book and I love it. I also like that it is lighted.,POSITIVE
400,Really enjoying this little guy bought two for my mom and daughter,POSITIVE
401,"Seems fast with plenty of storage space, bought it for my 9 year old grandson and he loves it",POSITIVE
402,Absolutely great would buy over and over again excellent for streaming,POSITIVE
403,Unbelievable quality. Reader is even better at nighttime.,POSITIVE
404,Love this product! Great for entertaining purposes.,POSITIVE
405,This tablet is ok for a kid. I was expecting more because it's a Fire brand.,MIXED
406,"Easy set up, effortless, bout one for my 80 year old father and he uses it without any help.",POSITIVE
407,Very small tab with a great resolution. Price is also low.,POSITIVE
408,Bought this for a 5 year old and a 1 year old for they birthday. They love to play on it!,POSITIVE
409,I had no trouble registering this Kindle Fire. I have a plane Kindle & I like the Fire a lot better. It is user friendly even for first time user.,POSITIVE
410,"Love this!!! Great screen, easy to read in different lighting, and long battery life! The Amazon website has far more reviews for books and books are sometimes cheaper. Highly recommend.",POSITIVE
411,"Great Tablet for occasional users who want to Watch Movies, Read books, and browse the web.",POSITIVE
412,Accomplishes the tasks of a bigger tablet at a much lower price.,POSITIVE
413,this is the best house helper and entertainer. a must for everyone,POSITIVE
414,"Works great, good sound quality, easy and fun to use.",POSITIVE
415,Good device.. Easy to set up. You could stream anything u want basically,POSITIVE
416,It works great and meet my needs. Sling tv works great,POSITIVE
417,"Mom loves the tablet. Easy for her to use, she uses it for Facebook, reading, and some of her games.",POSITIVE
418,My wife has enjoyed this tablet a lot. She plays a lot of card games and looks up recipe.,POSITIVE
419,"This has been a great replacement for my daughters Leap Pad. The parental controls are very functional and the year free download of everything has been worthwhile. I really appreciate the usage timers - they are customizable and I can set a time limit for apps, a different time limit for reading and a third time limit for videos. The case seems sturdy and should prevent damages due to drops. On top of this, it is a fully functional Kindle, and I am able to use it when she is not!",POSITIVE
420,This item makes a great gift. It's small and very affordable compared to other 7 inch tablets. Navigating the tablet and closing apps are a bit of a learning curve.,POSITIVE
421,This was a replacement for my Son as he had one for about 4 years that just got broken .,MIXED
422,"Great tablet, perfect for my son. He can have all his games. Great performance",POSITIVE
423,I purchase this tablet on Black Friday for my classroom while at work and my toddler while at home. Pros-I've mainly used it at work for Class Dojo and it's good for that purpose. At home I've used it for a Fisher Price ABC app. Both run okay with minimum lag. Cons-The volume is very low and the ads are annoying but for what I'm using it for it works.,MIXED
424,The Fire Tv. Stick and fire Tablet are great for beginners,POSITIVE
425,My 3 year old love it.. Cool apps and easy to use!,POSITIVE
426,This TV is on another level from the firestick or chromecast. Speeds are amazing and can handle anything we try to stream. Great Purchase!,POSITIVE
427,Its great for small task and an excellent reader.I can even do my online school work.,POSITIVE
428,I bought it as the display for my Echo. Turning on Voicecast routes information to the tablet with the voice reaponse. It'S been exactly what I hoped it would be and the price was right.,POSITIVE
429,For the price is the go to android tablet. And for a kid is the best first time tablet for sure,POSITIVE
430,This Fire is a bit smaller than my Kindle Fire from a few years back. I still seems to have all the features and is 1/2 the price.,MIXED
431,works as expected no issues and I am good with prodcut,POSITIVE
432,Love it. Love my new fire tablet. It is so convenient,POSITIVE
433,Amazon continues to excel and lead in this technology,POSITIVE
434,Is a great product and a fantastic entertainment. The hole family is around it at home washing videos and series. It is also compatible with others programs and apps.,POSITIVE
435,"All the static about this item, not sure why. I did get a better deal buying two. Cant wait to gift it to someone. it appears a lot of my questions go unanswered.",MIXED
436,Works just like it says it does. Would recomend this to anybody!,POSITIVE
437,"I was debating whether to get the stationary Alexa device or the Tap and decided on portability. It's been fun figuring out how to phrase requests but with a little trial and error we're on a roll. I use it for play lists at work, alarm clock announcement by Dan Marino and news briefs. It's surprisingly sturdy but wish it was waterproof so I could take it with me while fishing.",POSITIVE
438,I am 75 and enjoy it very much. Great for reading.,POSITIVE
439,Very easy to use and it is very convenient. Makes great gifts for anyone!,POSITIVE
440,Can't believe how smooth it works.Highly recommend it.,POSITIVE
441,"You really can't go too wrong with this purchase because of the price. Works very well, but don't expect iPad quality. Does everything I've asked of it, but some web pages are harder to read partially because of it's small size (which can be handy) and it's lower resolution. It's a good second tablet and is better watching a movie on, then a smaller phone. Can throw it in a small travel bag and not feel you have to be quite so careful with it as you might be with a more expensive tablet.",MIXED
442,Great music and. Fun to test her knowledge. Amazing how qickly she responds to any question. Cannot stump her.,POSITIVE
443,"My daughter loves playing with Alexa, from math problems to telling jokes and inter acting with most of the comments you may have. Alexa is still kind of limited to trivia compared to google home but demonstrates and excellent integration with your smarthome devices. The design also blended in in my kitchen very well and i have replaced my old bluetooth speaker with it. So much potential with this device.",POSITIVE
444,"Tablets can get expensive, this one is pretty much everything you want in a tablet, but not for an outrageous price. Being Amazon, they make it user-friendly as long as you know what apps to get.",MIXED
445,"I really like this product because I can get tv programs, music & movies that are not available with my cable box. It was easy to set up and easy to use. There are apps that you can download that makes this really fun to have. I was using the firestick and was having buffering issues, but with this speed has not been as issue.",POSITIVE
446,Good product!,POSITIVE
447,"Nice to have device at home, kidding are loving it.",POSITIVE
448,I bought this for my granddaughter so she could have it to watch movies and play games. She loves it and takes it everywhere she goes. It is way better than a leap pad and it can grow with her.,POSITIVE
449,"The echo and Alexa are fun to use, convenient, and way more useful than I thought initially. She is the best roommate ever. She does whatever i ask and doesn't complain about my choices of music.",POSITIVE
450,"it's nice but I need to learn more about it because it doesn't do everything I ask of it. I""d still buy it again though.",MIXED
451,I bought this one for a family member because I loved mine so much! She was very pleased.,POSITIVE
452,"Does all it claim, not yet using much except for music",MIXED
453,"I love, love my Echo. At a command it will play any songs my mood dictates at that moment.",POSITIVE
454,It's easy to operate pluse is good price range. It's great for teens.,POSITIVE
455,I love watching FiOS on this tablet! I like that I can check my emails and go onfacebook at the same time.,POSITIVE
456,Bought as a gift. Feedback has been 100% positive!,POSITIVE
457,"We have a couple of these now for our kids. Create a kid account and allow access to a few apps, add a memory card for more storage for movie video files that you have and it's enough to entertain the kids on car trips or keep them from going nuts in restaurants occasionally.",POSITIVE
458,"Already own 2 Roku's. Purchased 2 Fire TV's and found the performance and usability very good. Replaced Cable TV withe them parred with PlayStation Vue Core Slim. The menu system/DVR is as good if not better than Cable. Mix that with a Tivo interface and Netflix, it is a game changer.",POSITIVE
459,"Nice, nice, nice, nice, nice, nice, nice, nice, nice",POSITIVE
460,Awesome tablet with access to lots of apps. Great games and learning tools!,POSITIVE
461,Only few skills were added to Alexa. And When my kids are asking general educational related it is not giving them right answers.,NEGATIVE
462,"This tablet is a great, all-in-one device. It does everything my husband (and my three children, and myself) need. This was the fifth Fire I've purchased in the last 3 years.",POSITIVE
463,Works great without having to startup your laptop to look up items on Amazon.,POSITIVE
464,"I love my new Kindle! I have owned them all and each one improves on the last. It's a great way to read! I have the origami book cover as well and did not expect to like it but actually, I love it!",POSITIVE
465,"I'm not happy with It, you get what you pay for I will never buy it again.",NEGATIVE
466,I got my father a Amazon Fire he's never used a tablet let alone a computer. So it was a challenge. He did pretty good but ha's a hard time seeing the screen.,MIXED
467,"This item is light downloads come in fast , built great and has a lot of bells and whistles too . Great for beginners and kids .",POSITIVE
468,Great tablet for reading and playing games. Graphics are great.,POSITIVE
469,Great streaming box to watch anything from the internet.,POSITIVE
470,"This product is worth the price. Apple TV may have better features and can link to your laptop and phone, but for the price, Amazon Fire TV is great!",POSITIVE
471,This tablet is better than you think you'd get for the price. Decent design and it's faster than most tablets in this price range. Not a fan of Amazon's Fire OS and wish it had Android but most of the apps are available so it's not a major issue. Overall great buy!,POSITIVE
472,Works great. Easy to use. Fast. Great for the whole family.,POSITIVE
473,"Great Item, I read in the dark without strain and never disturb my wife's sleep, User friendly and durable. I've not been a reader until now, have several books but it's at night when I have time to read but have to have a light on, This has been the Game Changer. Two Thumbs Up!!!!",POSITIVE
474,For having a discount for this price it was a deal i couldn't pass up. Even when everywhere seems to be sold out of this item i was still able to find best buy mobile had them in stock. Makes a great stocking stuff.,POSITIVE
475,It can convert your regular tv into a smart tv. Awesome,POSITIVE
476,Much more memory that my prior kindles. Luv that I can add a sd card for extra storage,POSITIVE
477,"This is a wonderful device especially for the beginner, my 70 year old mother. Step-by-step setup instructions are easy to follow, and the price is phenomenal for the features it has",POSITIVE
478,"It was purchased primarily for my nephew, to assist him in his upcoming schooling",NEUTRAL
479,Great tablet and excellent for kids also. I have been recommending to everyone,POSITIVE
480,"I had wanted one of these, the price was right so I bought 2 one for me and one for a gift for someone else. I really enjoy it.",POSITIVE
481,This product is awesome. The echo plays songs and answer questions. I can't wait to add the thermostat and light control modules.,POSITIVE
482,Faster than my firestick in navagating around and doesn't freeze as much.,POSITIVE
483,We bought the tablet for our kid and it actually is good for her.,POSITIVE
484,This is very durable for a young child. It is very easy to use even for my 2 yo granddaughter.,POSITIVE
485,"I have been using this item before and it was great I love it and I did recommend it to my friends. I love the quality, the camera and the items that the device have.",POSITIVE
486,"The Paperwhite makes it possible to condense a lot of books in one small device, thereby saving your house from looking like a warehouse. You can pack a lot of books into your suitcase with a Paperwhite. If your device gets stolen, lost or trashed, you may lose a substantial portion (or all) of your personal library. The Paper white allows you to increase size of print Big Advantage. Use of hand gestures to turn page allows faster reading. It's awkward to hold, lying in bed. An attachable gripper would be helpful to hold and read at same time",POSITIVE
487,I can't seem to be able to hook it up with my internet connection. I will be returning it to the store.,NEGATIVE
488,This model has an excellent screen resolution and size. Very easy to use and navigate the functions. Web browser works great. The backlight is super helpful and does great in the sun for outdoor reading. It's small and lightweight size make it easy for me to carry in my purse. I would recommend this to anyone,POSITIVE
489,Great product for my 10 year old son. Very easy for him to find what he wants,POSITIVE
490,"Purchased this tablet at a great price! This tablet works very well within the amazon ecosystem, so it is best geared towards those with amazon prime. It has micro sd card slot which is a plus.",POSITIVE
491,It contains too many adds that cant be removed including the lock screen its not worth the money,NEGATIVE
492,I cant ask for more for this price! very please with the Kindle Fire features,POSITIVE
493,"Gift for mom. didn't know if she would use it. Seems to be useful and makes it easy for her to listen to music. Also helps with weather, jokes tend to be corny. Hasn't used it to order anything. Got one for other family members and they seem to use it too.",POSITIVE
494,It was easy to setup and fun to interact with Alexa.,POSITIVE
495,I bought my sister the original Kindle years ago. She kept it for so long that it had a spot in the middle of the screen that was like a bright light. For her birthday I got her this one & she can't leave it alone! She loves it!,POSITIVE
496,"She really loves using this table, it's easy and simple. Having so much fun playing games. Her Christmas gift was exactly what she wanted. She dropped it a couple of times with no damages.",POSITIVE
497,I cut the internet cord and I can't be happier!!! The Amazon Fire Tv offers so many apps and program options!! I wish I did this sooner.,POSITIVE
498,this tablet is perfect for surfing the internet and following social media,POSITIVE
499,This is very functional and user friendly! Great for kids too!,POSITIVE
500,"Good screen resolution, very handy, easy to operate, compact; great reading device",POSITIVE
501,It's super easy to use and lightweight!! I love my new Kindle!,POSITIVE
502,The Amazon Echo does everything for us from setting our thermostats to turning lights and tvs on and off. We recommend it to anyone looking for something that will help make your smart home products even smarter.,POSITIVE
503,I like the paperwhite read its smaller then my tablet can go anywhere with me and I enjoy reading books on it,POSITIVE
504,I had got the original for the wife she finally needed a new one so when I saw this online I had to get her a new one she loves it,POSITIVE
505,Great tablet that can be used for kiddos and those not great with technology.,POSITIVE
506,Still learning about my Echo but so far just love it!,POSITIVE
507,Bought it for my niece who is autistic and she loves it . works great and easy to use.,POSITIVE
508,The Amazon Fire TV is great. It was easy to set up and start using. The menu is very user friendly and easy to navigate.,POSITIVE
509,Love my paper white. Have an old Kindle and a Kindle Fire and now the Paper White.,POSITIVE
510,"He loves to read, play games and watch movies. Great purchase",POSITIVE
511,I bought this for my toddler to keep her busy on road trips or at appointments and she wasn't too fond of it. It's kinda slow and limited to what you can do. One feature I did like is that you can set a profile for kids and they'll only be able to use apps that you designate for them to use.,MIXED
512,"I purchased this tablet for my 2 year old niece, and it works great, no issues at all, she mainly uses it to watch barney and Elmo episodes... easy to setup parental controls for safety... easy to handle especially for a child, very small and lightweight... recommend to all",POSITIVE
513,"I have five iPads and they work well but they cost hundreds more then the Fire. The Fire is fast ,very good battery life, the screen is great and is very easy to learn. It is not a iPad but I use it more than I use my iPad. Small ,easy to hold and read. I can't say anything bad about it. Works very well and I like it very much. Also I bought three more of them for my grandkids to play with and they like there's also, PS they also have iPads but use the fire more.",POSITIVE
514,"It's great to have a, ""know it all"" in the house now. I've been trying to stump her all day but she keeps giving me answers.",POSITIVE
515,Well primarily I was going. To for a Samsung galaxy but for the price I went with this kindle for my daughter to use I do like the parental control features I just wish Amazon was a full android device instead of limitations to app markets I can't even get Google play. Unless you jail break it. Well for what it does it works fine just not the top of the list.,MIXED
516,ECHO (ALEXA) is a nice bluetooth/wifi speaker that is portable and can give you information when you ask it questions.Can Sync with your phone via using the Amazon Alexa app.Speak it in the AIR,POSITIVE
517,Great tablet for my son. Live the endless library of downloadable books.,POSITIVE
518,This tablet is sturdy and great for my kids with games and learning.,POSITIVE
519,This is a great beginner tablet for a small children. Definitely recommend this starter tablet.,POSITIVE
520,"Integrated easily with ecobee3, insteon products. Music playing capability is great with prime membership",POSITIVE
521,The parent said she loved the tablet but her son loves it more. He sleeps with it to keep his siblings from touching it. Best gift ever!!!!,POSITIVE
522,The best thing ever. Getting rid of cable was due to this.,POSITIVE
523,I've purchased 3 tablets so far as gifts.I've gotten great feedback on all purchases. The price was affordable and easy to operate for 2 eight year olds.,POSITIVE
524,This is a great product. It still needs better AI to make it more user friendly. I also have a Google Home. They each have their own strong points.,MIXED
525,Only negative is pop-up ads. Don't quite understand the need for ads.,NEGATIVE
526,"Amazon Echo is amazing, weather, sports, music and all the questions you can ask, my whole family loves it",POSITIVE
527,Best electronic reader. The base kindle is hard to read because the lack of light and the other readers and apps just don't offer the quality experience and feel of the kindle paperwhite.,MIXED
528,This is a great little android box. Already had one but when I found out it was on sale I bought another. Just sideload kodi onto it and it has everything you need. Wired connection to the internet is a must for streaming HD content.,POSITIVE
529,I bought a bunch of these for Black Friday. Well worth the money. Each person I gave them to for Christmas was so happy.,POSITIVE
530,"I Love it! It is easy for anyone to use. Easy to transport, too.",POSITIVE
531,"This is great for the entire family! Love this device to watch shows, movies and even play games!",POSITIVE
532,They advertise zero lag time. Does still need to buffer,NEGATIVE
533,Love my new Kindle Fire - easy to use - the battery life is amazing!!,POSITIVE
534,Bought this tablet for my brother for Xmas and he loved it. He is able to watch Netflix on his tablet. Recommend it for kids. I will be buying my sister one now too.,POSITIVE
535,"very good for kids to use, play games and watch kids videos.",POSITIVE
536,"This item was a replacement for a misplaced/lost Kindle Voyage. It is my go-to eReader, compact, light-weight, and read anywhere (bright sun, shade, at nite) device. The Kindle Paperwhite could have been equally useful, but I was spoiled with the Voyage. As a note, I also have an iPadMini and an iPad Air2, but they are much heavier to lug around.",POSITIVE
537,Absolutely LOVE my Echo! Sound is much louder than I expected it to be so it's very easy to hear!! Great for playing music and she'll play anything you want to hear!! The shopping list feature is awesome and the fact that it goes right to my phone so I can check it at the store is great!! Highly recommend!!,POSITIVE
538,Nice product and a good companion for anyone who need to be entertained.,POSITIVE
539,"Why buy an I-pad when you can pay much less for a tablet that will do everything you need it to do, plus you get all the cost benefits of Amazon purchasing. One of the best buys on the market.",POSITIVE
540,I purchased the Fire Tablet for my father's 75th birthday. He loves using it to check his email and to play games. It's a perfect size to travel with too.,POSITIVE
541,I have other Kindles and this one is okay. For the price it was a decent buy. I may go to a larger size the next time as this seems small.,MIXED
542,"it does what its supposed to do, turn ur tv into a smart tv altho chromecast has the upper hand because of its lack or chuggy connection to mobile phone",POSITIVE
543,"The Amazon fire TV is a simple to install and use as advertised. All you need is your own HDMI cable and everything else is provided for you. Set up took minutes. I really like how fast the Fire TV is. I use it almost exclusively for Netflix, Hulu, and live TV streaming thru PlayStation Vue. I chose the Fire TV over the TV stick because the Fire TV has a faster processor and it works beautifully. I would definitely recommend this box for anyone who's looking to cut the cord from cable.",POSITIVE
544,The battery life had been incredible. Fits in my wife's hands comfortably. She can't wait to get her next book.,POSITIVE
545,I was hoping to use Google launcher with this tablet but it is really locked down and you cannot change the launcher or the lock screen. Still cheap and fine for watching movies.,NEGATIVE
546,"awesome, great value, good quality product, I would recommend this to anyone",POSITIVE
547,Got one for my son and hasn't put it down. Well till the timer shuts it off. He is 5 and loves it.,MIXED
548,"This is my 2nd FireTV I now own, and love them both. Setup was a snap even without it preconfigured from Amazon.",POSITIVE
549,My 5 year old loves it! She can order books and look at all her favorite shows,POSITIVE
550,Excellent replacemwnt for an older model of rhe kindle.,POSITIVE
551,Its an okay product. It is geared towards amazon users. Doesn't have apps that roku or apple tv have. I got it for the direct now and it froze every time I used it.,MIXED
552,I purchased this tablet for my 5 year old. It is easy to use and i love the Kindle Freetime. Great price. Pretty durable.,POSITIVE
553,Great quality great movies the Amazon Fire Stick in the Amazon box is the best thing I ever had,POSITIVE
554,This is my fourth Kindle...upgrading each time. Mine goes everywhere with me and is used throughout the day. Wouldn't be without it.,POSITIVE
555,Don't know how I managed without Alexa. Everyone in the family is enjoying her.,POSITIVE
556,The sound is not great. Music sounds muffled. Not a real needed I'm but fun.,MIXED
557,"We are used to iPads in our house. This has taken some learning to get used to a slightly different format, but it works great!! The price point is perfect for kids to use without the worry.",POSITIVE
558,This product works the same as the firestick but is suppose to have 4K and better quality. To be honest it looks the same on our 70 inch 4K tv. This product does not come with the cords to hook it up. So you need to buy an hdmi cord and an Ethernet cord which adds to the cost. But I do love the Amazon product compared to other devices.,MIXED
559,"I purchased this as a gift for my wife and she loves it! Long battery life, small and convenient to carry and great book selection.",POSITIVE
560,Perfect for my granddaughter birthday. She loves to read. So many books,POSITIVE
561,We love Alexa!! We play music and the quality is outstanding.,POSITIVE
562,Bought it for my husband as I have an apple ipad. He loves it.,POSITIVE
563,You can't got wrong with a tablet for less than $60 capable of watching movies and play games. Perfect for kids.,POSITIVE
564,"My old Kindle was broken, so I received the Paper white for a Christmas gift. I love it! It is small and light enough to carry anywhere, and I love that I can adjust the back light to accommodate day or dark.",POSITIVE
565,I bought this tablet for my wife. The Google app store and 8 gigs of memory were just what she was looking for.,POSITIVE
566,This product is a basic tablet that gets the job done. I wasn't looking for an established brand name tablet. Just something basic for a few apps I use and surfing the web and this tablet was well within my budget.,POSITIVE
567,why carry a book when you can have a library at your fingertips? Get one now!,NEUTRAL
568,My 9 yr old daughter loves to play with it. Be careful children don't order prime.,POSITIVE
569,"What a delight, this Kindle is easy to use and is a very high quality item. I can read for hours with no eye strain.",POSITIVE
570,The absolute best streaming device I've ever used.,POSITIVE
571,Great device fast and big enough to see and easy to use !!!!,POSITIVE
572,"Love the tablet, easy to use and loaded with fun for the whole family",POSITIVE
573,I honestly didn't care for it. The newest versions of this tablet are by far much better. You have a bit more freedom with it than you do the older version.,NEGATIVE
574,Very decent tablet. I was skeptical at first but it's performance surprised me. Battery lasts a decent amount of time and connects beautifully into the Amazon ecosystem I already am in. Would recommend to anyone who likes to watch videos/browse the web on the go or for children.,POSITIVE
575,We are still learning all the abilities of the tablet. This is new tech to us. At this point it has certainly been a good item for the money invested.,POSITIVE
576,"I purchased a Echo for home so added a Tap for my office at work, so I can chat with Alexa at work and my main reason was for a decent BT speaker for my office. This has great sound streaming my Prime music and XM vis the XM app. Can't go wrong. Quality music and Alexa when I need some help with spelling hard word's, she getting smart. Pick one up. You have a woman to talk to when the wife is out.",POSITIVE
577,"I didn't want to mess with or pay for an additional satellite box, so this was a great way to be able to watch things in a bedroom we converted into a tv room.",POSITIVE
578,Tablet compares to my Samsung tablet that I paid over $250 for.,NEUTRAL
579,"I have Bought several versions of this tablet for my kids over the years and have been ever impressed with it. I first got one for my son, the my oldest daughter to replace her children's tablet, which was worthless, this tablet gives you everything you could want and allows you to control what your kids access on it and even lets you see what they download onto it. if you want to set a time when it shuts off at night you can, when they can play games or use Netflixs you can...great product!",POSITIVE
580,I purchased this for my mom in hopes that she would learn to email. We are still working on it but the tablet is good for basic needs and the price was great.,POSITIVE
581,I have one and like it so much that I purchased one for my son. It can be used for entertainment or to control a smart home.,POSITIVE
582,"My grand daughter loves it, hasn't put it down since we bought it from her. Clear picture, runs great, she loves to watch videos and play music.",POSITIVE
583,I wanted to get something nice for my wife and this did the trick. I'll get flowers next time.,POSITIVE
584,Great for my needs that are beyond the tablet applications,POSITIVE
585,This device is a classic reader for people， also a good gift for students. It is very comfortable to use it.,POSITIVE
586,i have not had any issues with it. i like the separate profiles so i can use it too with out him getting online. plus i can down load a app and if it is suitable for him i can add it to his profile.,POSITIVE
587,"I use his as a second screen to watch videos I've edited in my computer. It's fast enough to play a pretty big video file with no hiccups. However, multitasking is very limited.",MIXED
588,I ordered this and actually came in earlier than predicted and it works beautiful! I'm totally happy with my purchase!!!,POSITIVE
589,"I love my new kindle! I can read books, read email, shop online and play games!",POSITIVE
590,This Amazon Fire TV Box is perfect for Kodi and is really fast,POSITIVE
591,Got this for my daughter and she loves it. I also use it as a e-reader,POSITIVE
592,"I bought this Kindle 7"" fire for my granddaughter. She has used my fiire HDX and was used to the format, so it is working out great for her. Still I wanted something inexpensive in case anything destructive happened I would not have much money involved. We are very happy with it.",POSITIVE
593,It works great for a kids tablet and the best is that you could add extra memory to it by adding a SD card.,POSITIVE
594,It's an amazing product. Use it daily. Can't wait for updates,POSITIVE
595,I eventually had to return it because of the shades of yellow in the back-light when using it at night. It was okay at day time but at night during which I usually read it was not what i expected to be premium cost product. Especially it was very annoying to read in the landscape mode. I guess Amazon needs a better QA department.,NEGATIVE
596,This tablet is for my daughter and she absolutely loves it!,POSITIVE
597,"I love this tablet. The battery life last a long time. I use my Amazon Kindle Fire predominately for watching movies on Amazon Prime, Netflix's, and checking my emails. I also carry it to my appointments and meetings. It is a compact tablet, and not big and bulky. The playback of the movies are great, and the movies are HD. Great little tablet if you are looking for something to watch movies and checking emails. I would definitely recommend this tablet to friends and family members.",POSITIVE
598,My 3 yr old son loves his tablet. He takes it almost everywhere and it keeps him entertained.,POSITIVE
599,"I bought this after being an avid Apple fan for the last 10 years. I had old style two Apple TV's and even bought a new Apple TV to help with me cutting the cord to DirectTV after 11 years. I switch to using the Apple TV with the DirecTV Now streaming service. After the Apple TV would no longer let friends or family airplay to it because of new updates or let me load any third party apps I knew it was time to switch. It was a great switch to the Fire TV and I have not looked back. I have been able to load numerous apps that are not available on the Apple TV such as Showbox and Kodi. My biggest complaint was the Fire TV remote was not able to control the volume on my sound bar like the Apple TV remote and was not able to turn my TV or sound bar on or off. The Sideclick remote was exactly what I needed. I was able to program the remote to control power and sound level, along with change the input on the TV. I would highly recommend using the Fire TV.Pros:Works extremely wellAllows 3rd party app installationMuch cheaper than Apple TVAllows use of amazon music which Apple TV did notCons:Home page is not at visually pleasing as the Apple TVRemote does not have volume controlsRemote is not touch sensitive and has a very loud *click* noise when pushing buttons.",POSITIVE
600,I enjoy my fire tv I would definitely recommend it,POSITIVE
601,"I was really surprised with this tablet. I'm glad I made the purchase. I am able to do as much and more with it as a tablet I paid much more for. I also love the size. The mobility makes it much easier to carry around better than my laptop, Great buy.",POSITIVE
602,"Got this on sale for 69, decent display but you can tell it is not on par with other tablets. It is great if you have prime and use their services. Great speakes, makes a huge difference in Audio quality. Battert life is good, no complaints. I gave it 4 stars due to the play store access. There is a way around it, I do have it on here now but it took some work.",POSITIVE
603,"Great for keeping around the house and doing basic Internet functions. For traveling it lets you bring books, movies and/or tv shows via Amazon so being Amazon Prime is a plus.For you business travelers, out of the box it can open, view, & edit MS Office files, .docx, .xlsx, & .pptx.All this for 25% the price of a iPad. Yes, the iPad can do more, but do you need it?",POSITIVE
604,Glad that I get to control the time spent on which sure site and apps.,POSITIVE
605,"So many ways to use this. Easy, fun, and helpful to have around.",POSITIVE
606,"It may not be a speed demon, but this tablet runs very well and the Fire OS is easy to navigate and use. I'm taking off one star due to some annoying limitations like the fact that the OS makes you use its own browser at all times, but overall it's a smart buy if you want to test a tablet out!",MIXED
607,"The Amazon Fire TV box hooks to cable modem easily and is very user-friendly. Great for Amazon Prime members. The only issue is that there is not enough 4K content out there and, in my opinion, does not warrant the price as opposed to the more portable Amazon Fire TV stick. Yes, the box has a faster processor and more RAM than the stick, but for content, I've had NO PROBLEM with the stick and it's cheaper.",MIXED
608,Works Great! Love the screen sharpness. Very easy to use.,POSITIVE
609,This product is amazing. It is so helpful and they update it with new skills all the time. I think it is one of my favorite tech products I have ever used.,POSITIVE
610,Like the tablet wish it had better battery life the older kindle battery life was amazing,MIXED
611,I love this Kindle!! I am biased I think however I have had 3 previous ones I prefer Kindles to any other tablet,POSITIVE
